,N_index,NYSE:EGL Open,NYSE:EGL High,NYSE:EGL Low,NYSE:EGL Close,NYSE:BA Open,NYSE:BA High,NYSE:BA Low,NYSE:BA Close,NYSE:TGI Open,NYSE:TGI High,NYSE:TGI Low,NYSE:TGI Close,NYSE:LMT Open,NYSE:LMT High,NYSE:LMT Low,NYSE:LMT Close,NYSE:NOC Open,NYSE:NOC High,NYSE:NOC Low,NYSE:NOC Close,NYSE:OA Open,NYSE:OA High,NYSE:OA Low,NYSE:OA Close
12-Dec-16,264,38.54,38.54,35.91,36.0,156.00,158.00,154.30,157.16,29.15,29.55,28.25,28.3,251.78,253.7,245.50,253.11,233.64,233.64,220.72,232.07,85.93,87.29,82.44,87.28
9-Dec-16,265,38.60,39.16,38.36,38.9,155.65,156.88,155.42,156.49,29.85,30.20,29.25,29.35,258.60,260.22,258.06,259.53,237.12,239.95,236.77,238.43,87.37,88.55,87.12,87.88
8-Dec-16,266,38.24,38.56,38.12,38.51,154.60,155.97,154.14,155.39,30.30,30.30,29.15,29.95,266.38,266.38,258.61,259.25,247.14,247.24,236.75,237.72,88.50,88.98,86.71,87.16
7-Dec-16,267,37.85,38.62,37.59,38.35,151.67,154.31,151.07,154.14,28.80,29.95,28.55,29.8,266.07,267.0,264.35,266.38,247.38,247.79,245.54,247.14,88.95,88.95,87.86,87.99
6-Dec-16,268,37.45,37.92,37.11,37.71,150.84,152.64,150.02,152.24,27.95,29.00,27.8,28.8,265.83,266.8,264.01,266.0,246.74,248.13,245.14,247.84,87.23,89.39,87.04,88.96
5-Dec-16,269,37.31,37.66,36.62,37.23,153.24,153.75,151.85,152.16,27.55,28.30,27.4,28.1,268.95,269.9,266.31,266.93,251.88,252.02,247.12,247.49,87.00,87.87,86.72,87.69
2-Dec-16,270,35.61,37.00,35.61,36.99,152.45,152.49,151.12,152.25,27.60,27.80,27.0,27.05,266.58,268.15,266.01,267.62,249.62,250.90,248.5,250.87,85.67,86.87,85.22,86.63
1-Dec-16,271,36.62,36.78,35.32,35.7,150.74,152.69,150.39,152.39,27.70,28.45,27.2,27.7,265.29,266.53,264.31,266.4,248.85,250.22,247.82,249.07,85.77,86.91,85.32,85.74
30-Nov-16,272,37.36,37.66,35.87,36.25,151.59,153.08,150.56,150.56,27.50,28.00,27.4,27.8,267.55,267.95,265.25,265.25,252.17,252.66,249.65,249.65,87.15,87.15,85.33,85.33
29-Nov-16,273,37.75,37.80,37.11,37.27,149.83,152.11,149.11,151.64,27.70,27.85,27.15,27.2,264.50,267.77,263.71,266.58,248.79,253.80,248.56,251.8,86.93,87.81,86.84,86.92
28-Nov-16,274,37.64,38.40,37.3,37.43,149.00,150.09,148.32,149.77,28.65,28.90,27.7,27.75,265.73,266.23,264.86,265.93,246.87,250.85,245.38,248.96,87.70,87.70,86.16,87.3
25-Nov-16,275,36.96,38.04,36.46,37.67,150.00,150.15,149.03,150.04,28.80,29.10,28.4,28.9,265.34,266.49,264.65,265.92,247.84,249.08,247.54,248.58,86.68,88.25,86.16,87.95
23-Nov-16,276,36.36,37.36,35.88,36.97,149.61,150.81,149.03,149.74,28.65,29.25,28.4,28.95,264.91,265.82,263.56,264.4,248.78,249.10,246.31,247.59,85.81,86.69,85.3,86.55
22-Nov-16,277,35.07,37.33,35.07,36.42,147.90,149.76,147.88,149.52,27.65,28.70,27.4,28.45,264.49,265.64,263.42,264.66,247.37,248.57,247.13,248.07,85.99,86.23,85.37,85.76
21-Nov-16,278,34.90,35.42,34.76,35.0,147.21,148.49,146.52,147.02,27.50,27.80,26.8,27.3,264.05,264.33,262.64,263.42,246.17,247.04,245.07,246.29,85.95,86.31,85.5,85.73
